match,n,i
True,779,10
True,778,10
True,778,10
True,778,10
True,778,10
True,778,10
True,778,10
True,778,10
True,778,10
True,778,10
True,778,10
True,777,10
True,777,10
True,777,10
True,777,10
True,777,10
True,777,10
True,777,10
True,777,10
True,777,10
True,777,10
True,776,10
True,776,10
True,776,10
True,776,10
True,776,10
True,776,10
True,776,10
True,776,10
True,776,10
True,776,10
False,775,10
True,775,10
True,775,10
True,775,10
True,775,10
True,775,10
True,775,10
True,775,10
True,775,10
True,775,10
False,774,10
True,774,10
True,774,10
True,774,10
True,774,10
True,774,10
True,774,10
True,774,10
True,774,10
True,774,10
True,773,10
True,773,10
True,773,10
True,773,10
True,773,10
True,773,10
True,773,10
True,773,10
True,773,10
True,773,10
True,772,10
True,772,10
True,772,10
True,772,10
True,772,10
True,772,10
True,772,10
True,772,10
True,772,10
True,772,10
True,771,10
True,771,10
True,771,10
True,771,10
True,771,10
True,771,10
True,771,10
True,771,10
True,771,10
True,771,10
True,770,10
True,770,10
True,770,10
True,770,10
True,770,10
True,770,10
True,770,10
True,770,10
True,770,10
True,770,10
True,769,10
True,769,10
True,769,10
True,769,10
True,769,10
True,769,10
True,769,10
True,769,10
True,769,10
True,769,10
True,768,10
True,768,10
True,768,10
True,768,10
True,768,10
True,768,10
